,real,imag
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,3.7115552e-07,6.802171e-07
101,-1.4777818e-06,1.1685459e-06
102,1.0115797e-06,-9.726624e-07
103,9.1879934e-07,-1.12751394e-07
104,6.226552e-07,1.4194289e-06
105,2.378301e-06,2.5340132e-06
106,-1.4231116e-06,-3.5510544e-07
107,1.5051269e-06,-1.0303474e-06
108,1.4999614e-06,1.2682818e-06
109,-1.4953494e-06,3.981578e-09
110,9.676053e-07,1.7359993e-06
111,-1.5522032e-07,1.2352695e-06
112,-2.4562637e-06,-2.0530417e-06
113,9.703097e-07,8.3853047e-07
114,-2.7987483e-07,-2.095043e-06
115,-1.9064325e-07,-3.392771e-08
116,-3.256283e-07,5.034484e-07
117,3.172246e-07,2.3089329e-07
118,1.0629335e-06,-1.5255011e-07
119,3.4017523e-07,5.1163835e-07
120,1.4725401e-07,1.6617006e-06
121,-6.8732294e-07,-3.550224e-07
122,1.0450519e-06,1.5011132e-06
123,8.397506e-07,-1.882683e-06
124,-2.4361654e-07,-1.1547885e-07
125,9.524897e-08,1.4704764e-06
126,-9.959837e-07,-2.7921047e-07
127,8.1562554e-08,-1.4602041e-06
128,-3.159636e-07,-1.6232795e-07
129,-7.008934e-07,6.503483e-07
130,-8.02627e-07,-2.5124007e-07
131,-5.879319e-07,8.8266563e-07
132,-3.5375314e-07,4.6257253e-07
133,1.0243062e-06,2.8027271e-08
134,-7.9947176e-07,4.3482626e-07
135,-1.0281137e-06,-7.619174e-08
136,-6.571309e-08,3.2962512e-07
137,8.145918e-07,-1.8534338e-07
138,1.6309201e-07,-6.214205e-07
139,-2.3942582e-07,2.0523393e-07
140,-8.6361496e-07,3.083362e-07
141,1.0437093e-07,-1.0077396e-06
142,9.338799e-08,-2.7905426e-07
143,-8.7390526e-07,-4.3164064e-07
144,-2.5527314e-08,-4.9055296e-07
145,-3.0832354e-07,-1.1611079e-06
146,-3.882946e-08,7.411543e-07
147,-3.9580806e-07,-1.473489e-07
148,-6.053691e-07,5.5505706e-07
149,-1.7912436e-07,1.3261794e-08
150,1.6592286e-07,-8.07457e-08
151,8.5812485e-07,3.7739304e-07
152,-8.417198e-07,-2.1613408e-07
153,2.2500707e-07,2.9643112e-07
154,-5.8742074e-07,1.3574078e-07
155,1.2451792e-07,2.418392e-07
156,6.0121346e-07,-8.0567787e-07
157,2.0476502e-07,-2.492804e-07
158,-7.350985e-08,3.6108162e-07
159,-1.1357466e-07,3.1343083e-07
160,-2.2693224e-07,2.3916388e-07
161,9.749928e-07,-1.6329669e-07
162,-1.7893349e-07,-4.0926913e-08
163,1.9303498e-07,1.3358972e-08
164,1.414841e-07,-1.1640808e-07
165,-3.4854554e-07,-4.5581565e-08
166,-1.2163724e-07,1.9151685e-07
167,-4.8620865e-07,-3.3308015e-07
168,-9.997251e-07,-5.9336566e-07
169,-5.1572255e-07,-2.1826402e-07
170,7.469204e-07,-1.7424006e-07
171,-5.0124504e-07,6.852398e-07
172,7.963245e-07,-5.316857e-08
173,6.7200475e-08,2.481198e-07
174,-3.015087e-07,2.813865e-07
175,-2.2807274e-07,-4.295712e-07
176,-1.2550935e-07,2.6110627e-07
177,-1.0951524e-07,-1.9689328e-07
178,-2.0191747e-07,-3.0230166e-07
179,3.0191538e-07,-2.5821862e-07
180,2.096715e-07,-1.5574533e-07
181,2.600674e-07,5.0678334e-08
182,1.764421e-07,-7.3421086e-07
183,-4.0424757e-07,1.4472496e-07
184,2.6996082e-07,1.1412207e-07
185,6.691321e-07,-5.6251594e-08
186,5.687054e-07,-3.4864004e-07
187,-7.4126547e-07,-1.359911e-07
188,-2.3712128e-07,-3.3031426e-07
189,2.036159e-07,3.6128282e-07
190,1.9068737e-07,1.7903764e-07
191,1.409874e-07,1.925841e-07
192,2.1974928e-07,8.130416e-07
193,6.815811e-08,5.529476e-07
194,-5.0079194e-07,-2.465467e-07
195,5.233029e-07,-6.915472e-07
196,-3.403421e-07,-1.6478607e-07
197,-1.7984104e-07,5.7146394e-07
198,-8.315866e-07,2.1197675e-07
199,-2.7695737e-07,-6.5846575e-07
200,-9.668924e-09,-1.8689921e-07
201,2.6831896e-07,1.4472305e-07
202,-7.7079795e-07,-3.0009113e-07
203,-4.9741594e-08,9.2915535e-08
204,-1.8230988e-07,-6.624183e-08
205,4.5615542e-07,1.3402372e-07
206,-6.7025604e-07,4.243024e-07
207,-1.1686036e-07,9.0433207e-07
208,-4.2448696e-07,-1.7254132e-08
209,-2.4432634e-07,-4.931964e-07
210,4.2135127e-07,-1.5184654e-07
211,1.7282822e-07,1.4076343e-07
212,-3.6818424e-08,-5.649131e-08
213,7.6211606e-08,-4.2736866e-07
214,2.8450646e-07,-2.534993e-07
215,-2.5997846e-07,-5.0778687e-07
216,-3.9124427e-07,3.9134179e-07
217,3.4382163e-07,-1.78292e-07
218,7.077743e-08,-5.0547218e-08
219,7.628074e-07,2.974999e-07
220,-1.9836401e-08,-2.02924e-08
221,3.2570887e-07,-2.658966e-07
222,-4.590638e-08,-4.079137e-07
223,-3.7328374e-07,3.2527234e-07
224,-4.895651e-07,-3.255085e-07
225,-5.683394e-07,-5.9936804e-07
226,-7.2967055e-07,3.5581238e-07
227,-7.6974295e-08,8.4990255e-08
228,1.1630201e-07,5.980375e-08
229,-4.327049e-07,-9.9717056e-08
230,3.5883534e-07,8.0978175e-08
231,4.6667765e-07,-4.768851e-07
232,-7.298986e-08,-2.874832e-07
233,-8.612451e-08,6.495491e-07
234,-7.742612e-07,-5.9119526e-07
235,-6.9270854e-08,9.240866e-07
236,2.2584557e-07,1.5340487e-07
237,6.8102344e-07,3.154659e-07
238,-3.1218764e-08,3.5922443e-07
239,2.077711e-07,-5.612228e-07
240,3.5947656e-07,4.6417782e-07
241,-2.6744011e-08,-6.571357e-08
242,-5.066139e-07,3.4274382e-08
243,4.83547e-07,-2.4608738e-07
244,-2.2826878e-08,-5.656118e-07
245,-3.6823442e-07,-3.3006833e-07
246,2.8404372e-07,1.626682e-07
247,8.3100765e-08,-5.521439e-07
248,-2.40135e-07,3.6271878e-08
249,-1.1556597e-08,-8.15734e-08
250,-1.1208587e-06,4.512811e-07
251,-2.2470176e-07,-2.2989833e-07
252,-2.1718053e-07,-5.7497954e-07
253,-1.4341626e-07,-2.8974907e-07
254,-7.3918227e-07,9.167491e-08
255,4.5755834e-07,-3.856032e-10
256,-9.745174e-08,-2.2019617e-07
257,1.4414212e-07,-1.3085467e-07
258,-1.3676195e-07,-7.420268e-08
259,2.916386e-08,1.1149486e-06
